metric,value
factual_mean_pred_target_female,23024.959894846244
factual_mean_pred_target_male,38679.59157774161
factual_gap_male_minus_female,15654.631682895364
factual_mean_pred_target_nonwhite,26722.146121297603
factual_mean_pred_target_white,34643.764850027095
factual_gap_white_minus_nonwhite,7921.618728729492
counterfactual_mean_delta_do_male_for_females,14852.693383627806
counterfactual_mean_delta_do_white_for_nonwhite,5687.560472496476
counterfactual_negative_delta_rate_do_male_for_females,0.0
counterfactual_negative_delta_rate_do_white_for_nonwhite,0.0
